cluster	numt
Cryptophagidae_cluster20	FALSE
Cryptophagidae_cluster22	FALSE
Rhadalidae_cluster5	FALSE
unclassified.Coleoptera_cluster146	TRUE
unclassified.Coleoptera_cluster113	TRUE
Coccinellidae_cluster67	TRUE
Staphylinidae_cluster7	FALSE
Curculionidae_cluster13	FALSE
Chrysomelidae_cluster18	FALSE
Elateridae_cluster20	FALSE
Carabidae_cluster24	FALSE
Elateridae_cluster26	FALSE
Chrysomelidae_cluster31	FALSE
Staphylinidae_cluster100	FALSE
Staphylinidae_cluster156	FALSE
Melandryidae_cluster3	FALSE
Geotrupidae_cluster3	TRUE
Curculionidae_cluster67	FALSE
Staphylinidae_cluster187	FALSE
Staphylinidae_cluster216	FALSE
Cryptophagidae_cluster16	FALSE
Ciidae_cluster1	FALSE
Cryptophagidae_cluster17	FALSE
Coccinellidae_cluster58	FALSE
Staphylinidae_cluster276	FALSE
Rhadalidae_cluster2	FALSE
Chrysomelidae_cluster108	TRUE
Monotomidae_cluster6	FALSE
Chrysomelidae_cluster116	TRUE
unclassified.Coleoptera_cluster103	TRUE
Nitidulidae_cluster18	FALSE
Staphylinidae_cluster308	FALSE
Throscidae_cluster7	TRUE
Coccinellidae_cluster74	TRUE
unclassified.Coleoptera_cluster143	TRUE
Coccinellidae_cluster20	FALSE
Coccinellidae_cluster11	FALSE
Chrysomelidae_cluster16	FALSE
Tenebrionidae_cluster4	FALSE
Elateridae_cluster16	FALSE
Chrysomelidae_cluster23	FALSE
Staphylinidae_cluster60	FALSE
Staphylinidae_cluster59	FALSE
Coccinellidae_cluster31	FALSE
Ptiliidae_cluster4	FALSE
Chrysomelidae_cluster41	FALSE
Staphylinidae_cluster80	FALSE
Melandryidae_cluster1	FALSE
Chrysomelidae_cluster48	FALSE
Carabidae_cluster55	FALSE
Staphylinidae_cluster130	FALSE
Staphylinidae_cluster120	FALSE
Staphylinidae_cluster116	FALSE
Nitidulidae_cluster7	FALSE
Staphylinidae_cluster189	FALSE
unclassified.Coleoptera_cluster38	FALSE
Chrysomelidae_cluster88	TRUE
Curculionidae_cluster83	FALSE
Elateridae_cluster61	TRUE
Curculionidae_cluster90	FALSE
Chrysomelidae_cluster91	TRUE
Staphylinidae_cluster244	FALSE
Brentidae_cluster4	FALSE
Carabidae_cluster70	TRUE
Apionidae_cluster9	FALSE
Byturidae_cluster3	FALSE
Curculionidae_cluster131	TRUE
Monotomidae_cluster4	FALSE
Chrysomelidae_cluster119	TRUE
Staphylinidae_cluster283	FALSE
unclassified.Coleoptera_cluster93	FALSE
Chrysomelidae_cluster120	TRUE
Rhadalidae_cluster12	FALSE
Anobiidae_cluster10	FALSE
Coccinellidae_cluster17	FALSE
Curculionidae_cluster29	FALSE
Carabidae_cluster21	FALSE
Mordellidae_cluster2	FALSE
unclassified.Coleoptera_cluster7	FALSE
Carabidae_cluster31	FALSE
Staphylinidae_cluster69	FALSE
Scarabaeidae_cluster3	FALSE
Coccinellidae_cluster35	FALSE
Leiodidae_cluster11	FALSE
Geotrupidae_cluster2	TRUE
Curculionidae_cluster52	FALSE
Staphylinidae_cluster132	FALSE
Zopheridae_cluster1	FALSE
Curculionidae_cluster54	FALSE
Carabidae_cluster54	FALSE
Staphylinidae_cluster135	FALSE
Staphylinidae_cluster121	FALSE
Staphylinidae_cluster160	FALSE
Elateridae_cluster45	TRUE
Cerambycidae_cluster31	FALSE
Cryptophagidae_cluster14	FALSE
Staphylinidae_cluster163	FALSE
Staphylinidae_cluster226	FALSE
Elateridae_cluster48	TRUE
Curculionidae_cluster96	FALSE
Coccinellidae_cluster49	TRUE
