"taxon"	"run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Coleoptera"	8	"FALSE"	"wdadn"	0.9	2663	678	1675	91	184	401	65	123	0.0543283582089552	0.353260869565217	738	32	620	253	404	70	45	0.043360433604336	0.642857142857143	0.0509738914214671	0.433070866141732
"Coleoptera"	9	"FALSE"	"wdadn"	1	2663	624	1675	55	184	401	71	130	0.0328358208955224	0.385869565217391	738	19	620	253	404	70	49	0.0257452574525745	0.7	0.0306672192291753	0.47244094488189
"Coleoptera"	10	"FALSE"	"wdadn"	1.1	2663	582	1675	41	184	401	73	142	0.0244776119402985	0.396739130434783	738	15	620	253	404	70	50	0.0203252032520325	0.714285714285714	0.0232076253626191	0.484251968503937
"Coleoptera"	11	"FALSE"	"wdadn"	1.2	2663	541	1675	29	184	401	78	156	0.0173134328358209	0.423913043478261	738	9	620	253	404	70	52	0.0121951219512195	0.742857142857143	0.015748031496063	0.511811023622047
"Coleoptera"	12	"FALSE"	"wdadn"	1.3	2663	509	1675	23	184	401	82	169	0.0137313432835821	0.445652173913043	738	5	620	253	404	70	53	0.0067750677506775	0.757142857142857	0.0116038126813096	0.531496062992126
"Coleoptera"	13	"TRUE"	"dadn"	0.4	2663	618	1675	31	184	401	47	164	0.0185074626865672	0.255434782608696	738	5	620	253	404	70	43	0.0067750677506775	0.614285714285714	0.0149191877331123	0.354330708661417
"Coleoptera"	14	"TRUE"	"dadn"	0.6	2663	590	1675	25	184	401	52	170	0.0149253731343284	0.282608695652174	738	5	620	253	404	70	45	0.0067750677506775	0.642857142857143	0.0124326564442603	0.381889763779528
"Coleoptera"	15	"TRUE"	"dadn"	0.8	2663	565	1675	23	184	401	57	178	0.0137313432835821	0.309782608695652	738	4	620	253	404	70	48	0.005420054200542	0.685714285714286	0.0111893907998342	0.413385826771654
"Coleoptera"	16	"TRUE"	"dadn"	1	2663	533	1675	18	184	401	64	189	0.0107462686567164	0.347826086956522	738	2	620	253	404	70	50	0.002710027100271	0.714285714285714	0.0082884376295068	0.448818897637795
"Coleoptera"	17	"TRUE"	"dadn"	1.2	2663	505	1675	16	184	401	72	197	0.0095522388059701	0.391304347826087	738	2	620	253	404	70	50	0.002710027100271	0.714285714285714	0.0074595938665561	0.480314960629921
