"taxon"	"run"	"echo_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Poduromorpha"	3	10	TRUE	"wdadn"	1.1	432	243	86	7	40	14	0.0813953488372093	0.35
"Poduromorpha"	4	10	TRUE	"dadn"	1.8	432	241	86	7	40	14	0.0813953488372093	0.35
"Poduromorpha"	5	27	TRUE	"wdadn"	1.1	432	224	86	6	40	17	0.0697674418604651	0.425
"Poduromorpha"	6	27	TRUE	"dadn"	1.8	432	220	86	6	40	18	0.0697674418604651	0.45
"Poduromorpha"	7	28	TRUE	"wdadn"	1.1	432	224	86	6	40	17	0.0697674418604651	0.425
"Poduromorpha"	8	28	TRUE	"dadn"	1.8	432	220	86	6	40	18	0.0697674418604651	0.45
"Poduromorpha"	9	9	FALSE	"wdadn"	3	432	239	86	7	40	18	0.0813953488372093	0.45
"Poduromorpha"	10	10	FALSE	"wdadn"	3	432	256	86	7	40	14	0.0813953488372093	0.35
"Poduromorpha"	11	27	FALSE	"wdadn"	3	432	235	86	6	40	18	0.0697674418604651	0.45
"Poduromorpha"	12	28	FALSE	"wdadn"	3	432	235	86	6	40	18	0.0697674418604651	0.45
"Strepsiptera"	1	9	TRUE	"wdadn"	1.1	8	0	7	0	0	0	0	NA
"Strepsiptera"	2	9	TRUE	"dadn"	1.8	8	0	7	0	0	0	0	NA
"Strepsiptera"	3	10	TRUE	"wdadn"	1.1	8	0	7	0	0	0	0	NA
"Strepsiptera"	4	10	TRUE	"dadn"	1.8	8	0	7	0	0	0	0	NA
"Strepsiptera"	5	27	TRUE	"wdadn"	1.1	8	0	7	0	0	0	0	NA
"Strepsiptera"	6	27	TRUE	"dadn"	1.8	8	0	7	0	0	0	0	NA
"Strepsiptera"	7	28	TRUE	"wdadn"	1.1	8	0	7	0	0	0	0	NA
"Strepsiptera"	8	28	TRUE	"dadn"	1.8	8	0	7	0	0	0	0	NA
"Strepsiptera"	9	9	FALSE	"wdadn"	3	8	0	7	0	0	0	0	NA
"Strepsiptera"	10	10	FALSE	"wdadn"	3	8	0	7	0	0	0	0	NA
"Strepsiptera"	11	27	FALSE	"wdadn"	3	8	0	7	0	0	0	0	NA
"Strepsiptera"	12	28	FALSE	"wdadn"	3	8	0	7	0	0	0	0	NA
"Siphonaptera"	1	9	TRUE	"wdadn"	1.1	13	1	3	0	0	0	0	NA
"Siphonaptera"	2	9	TRUE	"dadn"	1.8	13	1	3	0	0	0	0	NA
